,Unnamed: 0,Unnamed: 0.1,latitude,longitude,address
88,88,88,55.5381,37.6596,"1-й Футбольный проезд, Расторгуево, городское поселение Видное, Ленинский район, Московская область, ЦФО, 142702, РФ"
89,89,89,58.6873,50.0362,"Общежитие №4, 2, Коммунистическая улица, Вахрушевское городское поселение, Слободской район, Кировская область, Приволжский федеральный округ, РФ"
90,90,90,43.5898,39.7425,"Молодогвардейская улица, Ареда, Завокзальный, Центральный внутригородской район, Сочи, городской округ Сочи, Краснодарский край, ЮФО, 354002, РФ"
91,91,91,55.83382827,37.52312428,"Торгово-деловой центр  Ноев ковчег, 22 с1, Соболевский проезд, Коптево, район Коптево, Северный административный округ, Москва, ЦФО, 125239, РФ"
92,92,92,52.5929,39.5609,"92, проспект Победы, Октябрьский округ, Липецк, городской округ Липецк, Липецкая область, ЦФО, 398000, РФ"
93,93,93,54.4325,50.8156,"5, Ленинградская улица, Ключи, городское поселение Нурлат, Нурлатский район, Татарстан, Приволжский федеральный округ, 423040, РФ"
94,94,94,53.6395,55.9657,"3, улица Тукаева, Стерлитамак, городской округ Стерлитамак, Башкортостан, Приволжский федеральный округ, 453104, РФ"
95,95,95,58.0209,56.3159,"27, Кунгурская улица, Костарёво, Садовый, Мотовилихинский район, Пермь, Пермский городской округ, Пермский край, Приволжский федеральный округ, 614014, РФ"
96,96,96,54.9385,82.9331,"152/1, улица Петухова, Кировский район, Новосибирск, городской округ Новосибирск, Новосибирская область, СФО, 630000, РФ"
97,97,97,51.5988,46.3491,"Пятёрочка, улица Мира, Генеральское, Энгельсский район, Саратовская область, Приволжский федеральный округ, РФ"
98,98,98,55.7544,60.7075,"ТК «Маяк», 33А, улица Монтажников, Озёрск, Озёрский городской округ, Челябинская область, Уральский федеральный округ, 456789, РФ"
99,99,99,55.9261,37.8176,"14, улица Грабина, РКК «Энергия», Подлипки, Королёв, городской округ Королёв, Московская область, ЦФО, 141071, РФ"
100,100,100,55.23893847,37.97007867,"Ильинское, городской округ Домодедово, Московская область, ЦФО, 142061, РФ"
101,101,101,47.6098,39.7047,"Рынок, Московская улица, Родионово-Несветайская, Родионово-Несветайское сельское поселение, Родионово-Несветайский район, РОС, ЮФО, РФ"
102,102,102,55.7985,37.7267,"11, Большая Черкизовская улица, Черкизово, район Преображенское, Восточный административный округ, Москва, ЦФО, 107392, РФ"
103,103,103,55.0292,73.2581,"86, проспект Мира, Городок Нефтяников, Советский административный округ, Омск, городской округ Омск, Омская область, СФО, 644000, РФ"
104,104,104,55.9333,37.5166,"9, Советская улица, Виноградовские Горки, Лихачёво, Долгопрудный, городской округ Долгопрудный, Московская область, ЦФО, 141701, РФ"
105,105,105,54.8133,56.0879,"46, Первомайская улица, Орджоникидзевский район, Уфа, городской округ Уфа, Башкортостан, Приволжский федеральный округ, 450000, РФ"
106,106,106,54.7526,83.061,"Вымпел, 10, Микрорайон, Бердск, городской округ Бердск, Новосибирская область, СФО, 633009, РФ"
107,107,107,55.9315,37.997,"19, Космодемьянская улица, Заречный, Щёлково, Щёлковский район, Московская область, ЦФО, 141109, РФ"
108,108,108,51.8483,37.7235,"41, улица Ленина, городское поселение Кшенский, Советский район, Курская область, ЦФО, 306600, РФ"
109,109,109,55.0289,73.4196,"20Б, 21-я Амурская улица, Амурский, Центральный административный округ, Омск, городской округ Омск, Омская область, СФО, 644000, РФ"
110,110,110,53.4314,58.997,"29, улица Николая Шишка, Магнитогорск, Магнитогорский городской округ, Челябинская область, Уральский федеральный округ, 455000, РФ"
111,111,111,56.1346,47.2549,"7, улица Николая Смирнова, Ленинский район, Чебоксары, городской округ Чебоксары, Чувашия, Приволжский федеральный округ, 428000, РФ"
112,112,112,53.7294,52.2436,"сельское поселение Алькино, Похвистневский район, Самарская область, Приволжский федеральный округ, РФ"
113,113,113,47.4195,40.0908,"16, переулок Кривопустенко, Круг, Центр, Новочеркасск, городской округ Новочеркасск, РОС, ЮФО, 346400, РФ"
